rank,skew_thr,streak_sec,cheap_thr,all_slices_positive,n_slices,min_slice_pnl_usd,windows_non_tie_full,tie_skipped_full,hits_full,wins_full,win_rate_pct_on_hits_full,pnl_sum_usd_full,ev_per_window_usd_full,hit_rate_pct_full,slice_0_pnl_usd,slice_1_pnl_usd,slice_2_pnl_usd,slice_3_pnl_usd,slice_4_pnl_usd,slice_5_pnl_usd,slice_6_pnl_usd,slice_7_pnl_usd,slice_8_pnl_usd,slice_9_pnl_usd
1,0.82,22,0.19,1,10,2.929825,998,2,158,53,33.5443,1169.752283,1.172096,15.8317,941.604594,171.381845,6.374269,7.081871,13.568125,5.805556,2.929825,11.23642,4.513158,5.256622
2,0.82,20,0.19,1,10,2.929825,998,2,158,51,32.2785,1158.314375,1.160636,15.8317,941.604594,166.826289,6.374269,6.081871,7.685772,5.805556,2.929825,11.23642,4.513158,5.256622
3,0.82,18,0.19,1,10,1.818713,998,2,153,50,32.6797,1157.758819,1.160079,15.3307,941.604594,167.826289,1.818713,6.081871,8.685772,5.805556,2.929825,11.23642,4.513158,7.256622
4,0.82,16,0.19,1,10,1.526316,998,2,153,48,31.3725,1144.951802,1.147246,15.3307,941.604594,166.533892,2.818713,5.081871,3.130216,5.805556,1.526316,12.23642,3.513158,2.701066
5,0.82,12,0.19,1,10,2.526316,998,2,148,50,33.7838,1129.445266,1.131709,14.8297,954.104594,124.089447,2.818713,5.081871,4.130216,10.361111,2.526316,18.118773,4.513158,3.701066
